AT,V,AP,RH,PE
27,70,1007,68,435
12,41,1006,99,472
14,45,1008,67,459
31,70,999,64,435
28,66,1005,51,435
32,73,1001,70,431
26,60,1013,67,447
12,36,1019,56,472
15,40,1013,81,470
12,48,1013,94,468
10,41,1023,86,484
27,73,1012,86,433
24,73,1012,86,438
8,42,1009,82,485
24,59,1010,81,445
21,61,1019,80,446
20,68,1003,72,452
14,41,1022,73,460
23,62,1010,75,445
7,39,1020,74,487
20,57,1020,74,455
22,60,1016,90,441
23,59,1012,83,441
28,70,1010,58,435
10,38,1013,77,472
27,63,1010,53,442
26,50,1006,69,442
20,40,1001,60,457
31,77,997,63,431
14,42,1013,73,471
16,44,1025,80,463
25,72,1010,87,434
7,39,1020,73,487
6,41,1028,87,480
10,38,1018,85,480
15,40,1011,65,470
31,74,1013,36,430
6,39,1012,75,489
28,69,1013,44,436
26,59,1015,53,444
16,37,1006,90,464
28,66,1015,59,447
24,70,1005,80,430
11,42,1014,89,475
24,64,1019,44,445
21,49,1020,86,450
22,60,1016,62,446
23,70,1009,83,439
26,59,1016,67,438
16,44,1014,76,469
21,42,1015,80,462
15,40,1018,72,468
21,64,1021,75,447
24,53,1006,48,445
9,40,1019,76,474
27,72,1008,68,428
33,68,1004,44,425
21,45,1009,36,461
29,67,1018,45,436
9,44,1011,88,476
17,41,999,68,461
15,41,1017,63,460
28,69,1008,76,435
18,44,1009,79,454
8,42,1008,84,485
26,75,1010,69,440
23,51,1012,80,452
27,69,1014,51,434
27,71,1010,83,437
19,42,1013,59,460
14,45,1024,87,469
12,41,1026,71,469
18,59,1017,89,454
24,71,1008,68,443
20,65,1013,75,446
22,65,1014,73,447
29,76,1018,51,437
11,38,1021,70,477
17,40,1008,69,457
25,59,1017,56,440
14,45,1013,87,466
26,62,1013,74,440
8,41,1021,92,475
13,45,1008,67,467
17,40,1012,82,458
31,71,1008,75,433
8,45,1021,69,485
21,59,1015,60,451
26,63,1012,61,446
20,51,1008,90,449
15,41,1015,74,469
10,42,1023,84,479
29,68,1008,47,432
17,39,1006,69,459
26,49,1004,66,440
24,66,1020,78,443
30,71,1007,71,432
20,57,1021,72,455
34,70,1013,43,432
32,75,1005,50,439
29,77,1009,76,433
7,38,1021,63,484
30,68,1010,65,428
29,48,1003,49,436
12,40,1013,67,478
26,52,1014,59,453
11,39,1010,87,463
9,41,1022,88,481
14,41,1022,74,460
23,74,1007,88,437
6,46,1009,96,478
17,44,1022,81,456
30,67,1018,53,434
11,40,1020,72,477
30,75,1009,62,435
30,70,1006,83,433
20,57,1020,76,454
28,65,1000,57,431
31,80,1007,57,432
25,74,1015,78,436
4,38,1016,82,488
31,70,1010,51,429
14,49,1018,75,464
15,45,1022,82,466
9,41,1012,89,479
11,38,1009,100,472
8,41,1022,79,488
22,45,1012,52,449
9,36,1015,59,477
10,37,1013,76,474
20,49,1012,57,454
31,72,1005,63,430
14,41,1017,91,463
28,72,1009,87,434
17,41,1019,51,471
5,36,1027,81,489
12,41,1022,61,474
31,73,1014,74,437
16,41,1016,89,457
16,41,1025,64,457
22,48,1006,84,443
21,58,1016,80,445
24,60,1010,90,437
7,39,1020,73,487
31,71,1006,62,434
24,68,1013,71,437
27,54,1013,67,440
32,63,1009,50,443
24,70,1005,60,437
27,45,1009,50,442
24,72,1010,93,439
11,39,1010,100,471
23,49,1004,83,442
22,45,1014,46,451
9,40,1013,91,483
18,49,1021,64,454
8,44,1019,65,479
17,45,1014,58,459
23,65,1016,72,447
12,44,1021,84,467
27,61,1008,69,444
7,40,1012,85,489
9,44,1020,98,475
18,45,1023,46,471
18,62,1020,79,455
27,45,1008,50,445
34,69,1001,38,431
15,41,1025,53,472
29,65,1011,53,443
9,40,1020,78,475
11,39,1018,83,474
21,44,1006,82,446
5,40,1013,75,491
27,64,1013,59,438
13,45,1013,88,467
29,71,1008,67,437
19,57,1007,84,448
25,44,1006,67,447
9,41,1030,87,478
13,42,1018,95,465
21,49,1009,86,446
24,68,1008,67,437
20,44,1012,66,456
21,59,1012,96,446
17,63,1020,93,449
28,65,1013,56,436
21,60,1015,76,453
28,68,1007,59,432
10,41,1018,80,482
29,80,1007,87,433
21,52,1009,80,447
15,46,1015,94,463
28,65,1015,47,441
31,71,1008,59,431
22,61,1018,78,446
26,71,1000,89,430
14,41,1021,75,462
17,44,1021,77,460
22,58,1011,86,442
24,65,1020,55,450
32,75,1002,62,436
13,50,1009,91,452
16,44,1014,75,467
9,41,1021,91,474
16,44,1021,73,461
9,40,1020,77,480
14,44,1019,76,467
27,59,1013,52,440
22,64,1021,71,454
28,61,1009,63,442
34,74,1002,43,436
32,64,1010,58,440
15,44,1013,57,467
14,42,1018,94,463
10,42,998,99,472
22,58,1012,71,448
29,68,1011,56,434
22,45,1008,68,450
22,70,1009,91,439
11,44,1023,63,473
25,68,1011,70,438
6,39,1010,96,491
5,40,1019,68,495
21,61,1006,88,443
10,39,1020,81,481
17,44,1016,78,461
17,40,1007,92,462
12,40,1025,75,490
8,41,1025,97,478
17,39,1015,73,461
9,42,1004,95,475
21,49,1011,65,448
9,41,1016,83,481
13,42,1014,87,471
25,65,1018,57,441
22,41,1002,42,453
16,42,1006,79,459
30,69,1008,67,434
10,42,1033,68,474
9,39,1017,64,482
25,62,1014,86,443
21,64,1017,74,450
24,65,1018,59,443
21,50,1009,84,444
27,59,1013,55,439
23,47,1008,66,447
20,63,1017,63,450
13,42,1021,71,462
24,60,1018,63,452
21,70,1010,96,445
5,46,1008,98,480
17,59,1016,86,454
25,72,1007,89,430
23,66,1011,70,442
10,38,1010,95,475
16,43,1012,46,466
26,70,1009,91,434
14,41,1022,76,460
29,69,1009,62,445
32,80,1007,62,433
25,77,1001,86,439
15,40,1018,63,457
6,40,1012,92,489
28,75,1004,76,434
22,57,1006,75,445
28,73,1007,73,433
23,45,1012,44,453
20,42,1002,96,454
10,53,1022,74,473
24,69,1007,77,442
8,39,1016,90,479
30,69,1004,63,438
24,62,1014,88,443
21,63,1016,91,447
14,40,1018,88,469
10,41,1023,87,477
17,49,1022,85,460
29,67,1006,62,432
19,53,1013,82,454
26,73,1008,87,437
20,66,1016,87,450
15,41,1018,86,459
10,41,1023,68,481
13,41,1022,83,461
11,40,1012,88,478
28,73,1008,70,432
15,41,1021,59,469
34,74,1012,36,429
31,78,1011,60,434
25,57,1010,74,443
14,41,1016,85,467
19,46,1002,97,448
22,70,1007,76,436
23,71,1008,81,442
20,44,1013,38,463
14,39,1013,82,471
25,64,1009,78,447
21,64,1013,79,451
34,74,1007,46,433
19,45,1010,75,451
25,70,1008,76,438
19,42,1001,99,457
25,60,1006,73,438
10,43,1018,82,473
27,65,1013,64,437
26,46,1011,55,451
25,74,1016,81,435
8,40,1023,89,477
32,67,1007,62,433
31,74,1007,76,432
8,43,1015,85,486
15,44,1012,95,468
27,70,1010,53,429
26,75,1010,65,444
10,40,1010,74,478
31,80,1007,56,434
24,62,1013,80,443
6,46,1009,93,478
23,69,1011,77,447
25,65,1014,41,446
11,36,1015,65,473
15,54,1016,63,462
24,50,1006,78,444
29,67,1005,65,430
20,61,1018,87,448
26,70,1009,67,441
22,75,1016,78,448
10,41,1018,71,473
17,54,1018,59,461
8,39,1018,67,482
23,66,1015,70,448
29,73,1007,64,434
17,42,1014,85,465
21,59,1017,77,446
26,68,1011,67,439
16,37,1007,90,466
25,69,1010,83,446
12,41,1015,77,472
24,61,1017,72,439
8,42,1016,78,486
32,71,1007,50,432
17,44,1017,82,457
7,40,1019,82,484
8,41,1024,84,483
32,68,1008,42,429
27,65,1016,64,444
9,41,1031,87,477
13,46,1018,88,465
23,61,1010,79,446
29,68,1010,69,428
25,62,1011,78,435
11,44,1013,73,476
30,76,1018,51,431
15,39,1013,74,470
23,75,1010,77,444
14,39,1010,89,468
18,40,1012,77,452
13,45,1016,81,476
16,42,1012,97,467
20,55,1017,67,454
6,36,1029,91,484
26,60,1007,76,439
15,44,1028,70,465
30,72,998,76,432
13,44,1026,91,469
13,41,1008,91,472
23,60,1012,79,437
10,42,1006,58,477
29,67,1007,53,439
11,42,1020,79,479
25,76,1017,70,446
21,45,1009,73,450
26,60,1010,74,445
17,44,1019,62,457
30,74,1006,65,429
26,72,1010,69,432
12,41,1019,78,478
25,71,1007,95,441
17,40,1009,78,465
13,44,1023,61,467
21,52,1010,81,452
20,45,1009,70,449
8,39,1026,71,475
9,39,1013,64,482
9,36,1029,86,478
15,45,1024,89,467
8,43,1015,84,486
7,45,1020,72,488
7,36,1020,86,483
11,40,1011,83,477
21,58,1018,71,450
31,67,1010,59,439
27,71,1008,57,439
28,72,1010,68,434
12,39,1015,98,472
31,70,1010,59,436
23,63,1013,75,442
30,78,1011,62,434
21,66,1015,77,450
14,45,1013,86,464
10,40,1019,69,471
10,41,1022,65,481
7,41,1020,79,490
13,42,1011,78,458
27,51,1012,59,437
13,40,1007,49,474
30,74,1006,62,429
11,41,1022,64,478
17,46,1014,83,454
31,68,1006,51,425
28,72,1008,68,430
29,73,1014,76,436
24,64,1015,51,453
11,40,1018,61,475
14,42,1018,90,464
17,46,1009,98,456
21,61,1020,67,449
32,70,1013,55,430
21,45,1009,73,447
26,79,1011,83,435
24,65,1014,43,444
33,70,1004,54,430
20,40,1005,85,460
21,62,1008,89,453
31,71,1010,66,432
27,59,1004,67,442
25,51,1006,79,439
32,75,1002,63,433
25,52,1006,67,449
13,40,1015,82,469
30,64,1011,58,442
13,45,1015,50,475
19,49,1021,83,455
14,39,1023,64,470
21,67,1015,72,456
27,66,1017,61,440
24,72,1011,90,436
9,42,1014,80,482
20,51,1012,78,454
5,41,1021,94,484
24,59,1010,66,441
17,58,1016,82,457
6,44,1014,84,482
30,57,1007,42,438
29,68,1004,81,429
26,64,1013,62,446
26,50,1013,37,458
6,41,1016,85,485
28,48,1009,58,441
18,47,1014,68,457
11,38,1014,73,472
21,58,1017,65,455
21,49,1015,58,454
19,60,1015,70,453
13,45,1024,88,471
34,77,1009,48,430
28,60,1011,71,444
21,58,1012,80,449
30,77,1002,64,435
15,48,1005,82,464
20,45,1008,40,462
16,39,1010,67,461
23,62,1010,86,445
13,48,1017,84,464
21,54,1011,82,448
31,70,1012,63,434
24,61,1015,65,448
6,43,1013,94,479
11,41,1021,96,479
24,57,1007,78,440
10,40,1020,69,478
15,71,1020,78,459
25,57,1012,42,440
22,45,1017,58,460
8,40,1026,96,475
21,43,1014,76,460
30,67,1014,51,445
4,40,1008,96,490
16,42,1018,69,465
25,67,1005,82,435
27,67,1007,82,432
28,43,1012,69,437
14,44,1025,82,469
26,70,1006,82,434
24,60,1017,71,448
26,69,1008,70,435
31,70,1009,51,437
26,57,1008,63,441
28,76,1017,55,439
29,74,1012,72,427
18,58,1020,78,458
17,46,1011,97,466
10,37,1014,73,475
10,39,1015,91,480
17,58,1016,87,456
21,49,1021,50,455
23,65,1021,67,449
24,52,1006,76,450
30,71,1011,47,444
13,41,1022,78,476
6,40,1011,83,483
17,53,1014,83,459
28,68,1010,73,431
24,63,1013,81,446
15,54,1018,73,463
26,72,1001,88,435
15,59,1014,90,455
22,59,1010,75,443
32,68,1009,53,425
16,65,1014,90,452
27,78,1012,74,432
9,41,1021,91,476
14,54,1017,65,467
13,40,1017,87,469
11,41,1022,95,467
6,43,1014,88,487
6,41,1028,87,481
17,59,1018,96,450
15,41,1005,99,467
26,65,1014,53,441
32,70,1004,56,435
23,64,1010,88,443
22,68,1013,69,444
27,64,1015,54,440
13,39,1020,72,474
16,41,1004,78,466
28,69,1010,57,432
14,46,1009,87,464
27,70,1008,73,434
25,72,1007,90,433
23,64,1021,71,452
23,73,1012,90,439
19,53,1004,87,450
7,41,1015,98,483
7,40,1021,78,485
14,40,1012,83,471
20,58,1016,75,450
32,72,1009,70,433
13,43,1016,79,466
27,73,1013,75,430
12,44,1014,91,474
12,40,1018,81,473
28,73,1011,80,435
27,67,1014,43,436
27,64,1009,54,444
27,73,1008,76,431
21,68,1007,56,445
30,69,1006,55,436
15,51,1019,98,463
26,45,1008,53,450
25,69,1011,59,448
16,40,1009,81,467
25,72,1011,65,439
21,45,1012,60,453
8,41,1023,79,486
27,68,1006,57,441
27,63,1012,41,449
19,46,1007,78,452
10,44,1008,91,474
26,65,1011,48,440
12,45,1011,77,468
16,49,1012,64,459
14,43,1008,96,469
25,64,1013,75,439
15,42,1013,87,472
13,44,1024,86,469
19,46,1008,80,454
17,51,1019,94,461
15,46,1009,85,463
25,63,1014,82,444
23,72,1011,92,438
27,72,1007,79,427
9,44,1010,87,475
30,65,1017,42,438
15,43,1015,85,471
19,68,1003,84,447
7,39,1011,91,483
29,73,1011,66,432
15,38,1020,85,464
9,41,1022,99,468
16,47,1014,74,460
18,61,1017,79,456
25,70,1011,73,436
6,39,1010,95,491
23,67,1006,65,442
13,41,1018,64,476
10,35,1028,75,478
31,70,1006,59,439
24,59,1016,70,446
25,49,1018,72,449
9,41,1025,94,475
15,46,1007,92,463
4,38,1017,83,491
24,67,1012,69,438
13,42,1018,97,462
26,67,1008,81,441
26,59,1012,67,438
12,42,1020,66,476
17,42,1018,68,469
24,64,1016,70,447
25,58,1016,71,444
20,58,1017,75,456
12,38,1008,65,472
28,73,1011,72,436
26,72,1008,83,432
23,60,1019,66,441
23,65,1016,70,448
26,45,1009,52,442
32,76,1008,57,435
20,60,1011,85,454
14,43,1016,67,464
25,61,1013,88,442
11,42,1021,91,465
25,60,1015,66,440
31,72,1011,61,435
25,60,1018,51,444
30,63,1009,49,440
8,40,1010,93,482
8,44,1017,86,484
27,74,1009,94,431
29,72,1005,75,428
21,58,1015,78,453
21,63,1021,70,455
15,36,1015,57,468
24,63,1020,63,449
33,70,1009,40,436
20,52,1012,47,458
22,58,1013,69,446
12,45,1023,81,482
25,68,1010,75,449
10,42,1006,62,475
16,39,1016,66,463
22,49,1005,76,447
12,42,1020,68,477
20,51,1008,92,447
22,64,1014,83,447
20,49,1009,93,447
25,65,1016,54,448
15,42,1017,79,466
21,49,1012,54,450
19,48,1005,83,454
26,58,1014,60,439
27,64,1014,47,444
21,63,1012,80,447
19,40,1008,63,457
22,66,1016,73,447
17,41,1000,72,462
14,42,1018,90,465
14,44,1025,87,466
9,39,1023,76,484
24,62,1022,64,447
27,70,1011,59,445
23,75,1005,93,438
27,67,1006,60,438
25,60,1005,77,438
35,74,1012,31,429
20,60,1017,72,456
27,60,1010,80,439
11,44,1012,80,477
12,44,1013,70,475
11,42,1014,82,476
26,72,1010,80,431
25,72,1006,85,428
28,74,1010,72,439
23,64,1013,82,449
33,70,1013,48,432
26,60,1013,74,447
25,49,1009,79,442
13,42,1015,78,466
10,40,1013,84,478
11,41,1027,74,470
12,41,1019,52,474
28,75,1014,49,442
11,46,1018,83,474
21,61,1018,86,449
21,69,1002,73,441
25,65,1013,54,446
26,66,1014,53,444
27,66,1011,69,441
18,59,1017,87,452
17,46,1014,81,455
14,50,1007,89,462
10,40,1021,74,477
23,62,1012,77,442
21,60,1015,81,449
27,69,1011,67,440
31,64,1014,50,438
15,45,1024,88,465
20,64,1016,75,447
15,39,1001,78,468
12,40,1014,86,471
26,68,1011,74,433
18,67,1013,79,455
11,36,1019,65,473
10,44,1022,70,477
24,74,1010,83,442
17,51,1015,95,458
28,67,1008,58,441
30,68,1010,51,441
24,72,1010,72,438
32,74,1009,61,431
32,66,1009,64,430
18,48,1013,65,457
31,67,1015,33,431
13,39,1024,67,470
34,69,1002,40,435
14,45,1024,78,473
25,57,1008,65,444
18,57,1014,78,454
25,67,1018,66,434
11,45,1014,63,475
29,70,1009,46,430
18,45,1014,68,452
24,51,1009,58,445
10,42,1020,79,481
16,38,1014,77,467
14,43,1008,98,471
26,68,1013,56,437
11,45,1023,86,483
28,65,1013,52,440
25,61,1012,80,437
29,73,1007,63,431
9,43,1020,81,481
17,53,1025,62,467
14,40,1013,80,466
30,73,1009,51,444
24,51,1012,72,451
17,44,1016,75,459
14,44,1028,69,466
29,75,1010,63,436
10,40,1011,63,477
28,75,1010,61,437
17,40,1003,66,459
20,59,1018,86,445
28,71,1009,77,430
13,50,1007,93,466
31,70,1012,66,436
11,44,1015,73,480
23,64,1013,82,444
34,70,1004,54,430
23,47,1007,55,449
21,42,1013,45,456
24,66,1012,62,443
26,47,1009,55,443
9,42,1019,82,482
7,36,1014,92,483
14,39,1005,85,472
10,41,1020,85,481
9,40,1021,85,480
12,44,1016,74,478
15,44,1024,82,465
8,44,1016,85,484
19,40,1003,51,455
27,70,1014,52,436
12,42,1014,89,463
14,39,1015,76,469
16,42,1017,82,467
28,50,1006,50,437
33,71,1010,60,433
29,73,1001,79,434
29,70,1009,71,438
8,41,1022,95,471
26,70,1010,75,435
31,74,1011,57,435
5,46,1008,98,480
10,45,1021,92,472
10,40,1005,92,478
14,54,1018,79,467
11,38,1013,80,471
19,40,1009,59,459
31,75,1005,46,439
33,71,1008,42,437
23,72,1006,91,435
25,51,1007,80,441
27,70,1010,76,446
19,65,1018,73,452
17,54,1015,67,458
21,67,1005,86,446
31,60,1011,60,443
23,60,1018,67,453
23,57,1014,79,445
11,45,1026,94,471
17,44,1012,75,459
29,59,1012,52,440
30,70,1007,53,428
31,70,1015,59,427
27,61,1011,65,437
30,70,1007,74,435
13,41,1008,95,472
28,70,1003,68,427
34,78,1010,58,431
23,60,1018,65,451
28,59,1016,58,439
31,80,1010,72,432
26,70,1010,65,434
8,39,1019,65,483
30,71,1008,76,438
20,70,1010,87,447
14,39,1013,80,472
24,60,1008,62,450
32,69,1001,55,427
18,44,1019,61,464
5,41,1021,86,491
33,74,1014,52,426
27,60,1010,70,438
29,71,1012,49,430
9,36,1027,76,480
19,47,1015,67,456
32,72,1008,58,429
18,46,1010,82,452
27,64,1013,54,442
26,50,1015,56,454
23,70,1006,84,437
11,42,1008,93,475
19,51,1011,94,456
27,74,1001,90,431
10,41,1019,98,466
16,42,1008,53,463
18,62,1020,79,454
8,38,1020,61,482
7,41,1023,80,484
28,72,1007,69,429
24,67,1010,62,442
12,41,1014,89,474
29,71,1010,67,437
26,60,1018,51,445
19,41,1002,63,459
21,51,1009,92,445
23,50,1014,67,454
26,70,1012,89,434
31,69,1009,57,425
26,73,1013,86,433
10,41,1028,86,477
30,70,1011,66,435
28,69,1013,39,437
22,58,1013,85,447
13,40,1018,82,471
31,76,1008,70,431
11,25,1009,96,471
24,69,1013,75,440
16,41,996,80,463
15,42,1019,81,454
15,41,1004,99,468
22,62,1008,76,446
30,73,1011,59,434
13,42,1011,87,461
21,70,1010,96,443
9,38,1020,71,478
12,40,1018,55,471
13,45,1018,93,477
17,44,1016,74,469
18,50,1010,100,451
20,59,1018,81,447
21,53,1004,79,450
14,43,1020,82,467
15,41,1016,85,458
13,34,1019,75,472
16,37,1014,74,471
14,46,1009,84,465
14,41,1023,73,461
25,48,1013,55,444
31,74,1003,71,430
27,74,1008,74,433
31,66,1009,66,431
9,45,1023,93,479
21,65,1017,73,446
22,61,1011,92,445
15,35,1016,57,469
16,48,1007,86,458
31,73,1010,53,431
28,67,1017,59,447
7,40,1012,95,484
29,77,1000,75,433
10,45,1018,94,474
12,36,1023,80,474
23,74,1010,88,440
26,60,1010,76,444
11,41,1016,86,479
32,66,1011,50,430
19,66,1013,81,446
24,61,1018,75,442
25,75,1010,79,440
27,65,1013,52,440
14,42,1015,78,465
27,63,1012,61,442
5,43,1014,90,478
20,51,1009,93,447
22,47,1013,58,448
9,37,1027,84,480
22,56,1018,58,456
6,46,1007,96,477
11,38,1014,96,472
17,44,1015,58,467
28,74,1007,76,431
16,38,1014,75,466
31,68,1008,65,431
22,51,1012,90,450
23,73,1009,90,439
19,46,1014,90,452
27,70,1007,72,435
25,65,1014,56,440
28,70,1009,47,427
15,44,1015,61,470
6,39,1019,83,484
23,60,1010,94,438
16,68,1004,99,450
31,62,1010,41,437
29,65,1010,54,442
26,65,1014,56,441
26,62,1011,74,436
22,65,1015,72,442
11,40,1019,87,476
33,69,1012,53,429
12,41,1014,84,477
24,59,1012,72,443
24,73,1012,86,436
27,74,1008,95,431
28,66,1013,65,438
25,76,1017,68,440
24,60,1016,60,445
9,41,1021,76,485
3,40,1011,85,481
12,41,1020,87,464
16,53,1025,59,458
18,42,1012,65,466
18,45,1025,69,458
13,42,1020,81,464
8,43,1011,87,480
17,41,1012,65,465
27,70,1013,64,435
21,59,1012,69,458
15,41,1017,89,459
26,69,1009,88,434
21,68,1006,59,445
25,57,1010,76,442
31,67,1015,42,432
10,40,1010,81,477
14,39,1014,78,471
26,74,1014,88,430
24,69,1011,77,441
26,57,1011,41,440
31,66,1009,64,441
14,41,995,93,468
4,39,1024,82,489
25,59,1018,54,446
17,63,1016,81,455
27,68,1013,50,436
22,66,1016,72,447
29,67,1016,38,433
14,43,1015,83,462
12,42,1020,74,478
33,73,1014,45,440
32,76,1008,56,434
20,53,1005,90,445
11,42,1009,72,478
22,64,1019,63,452
30,72,1007,63,429
28,74,1012,72,429
10,38,1018,86,478
10,41,1022,78,478
15,45,1008,65,457
23,71,1006,96,442
14,43,1014,91,472
9,37,1026,80,478
24,59,1017,69,447
21,50,1008,87,446
10,42,1018,90,474
8,38,1018,79,484
15,41,1005,84,466
28,68,1008,63,428
11,40,1005,90,478
18,52,1006,100,452
29,64,1010,67,445
18,45,1018,78,462
24,49,1003,69,443
25,69,1014,44,447
30,67,1018,52,433
22,64,1021,68,454
17,41,998,63,459
10,41,1016,84,472
22,63,1016,75,450
20,40,1002,59,457
7,42,1015,87,477
22,64,1015,73,449
5,39,1013,91,489
16,42,1023,53,472
7,40,1018,81,480
19,45,1015,46,465
17,56,1020,70,437
12,41,1023,87,475
21,44,1014,83,444
15,46,1008,91,463
29,69,1007,75,438
14,43,1011,89,470
19,63,1018,88,451
13,44,1014,91,473
29,71,1008,73,434
4,42,1006,69,488
17,44,1012,77,458
5,42,1004,81,485
10,39,1017,63,480
14,37,1014,83,467
33,71,1004,55,433
27,67,1016,56,439
31,69,1009,56,442
18,59,1012,84,449
22,63,1012,69,450
8,41,1020,71,486
14,45,1025,85,467
11,41,1021,92,472
20,48,1013,69,457
26,70,1012,61,450
21,50,1010,70,456
22,61,1011,92,444
19,42,1001,99,456
28,69,1013,46,435
6,36,1011,91,483
30,71,1011,53,432
16,41,1026,63,456
31,70,1013,62,432
20,60,1015,79,453
11,41,1022,94,462
17,59,1014,74,461
26,63,1014,79,442
25,48,1003,63,444
9,41,1021,86,486
17,41,1007,74,463
7,41,1023,95,478
24,68,1005,59,439
18,60,1010,84,453
23,72,1011,96,437
18,44,1009,75,453
29,70,1007,61,431
15,44,1024,81,463
14,41,1011,83,471
25,52,1015,68,454
19,45,1015,46,466
29,71,1010,67,438
20,47,1012,90,459
16,45,1009,83,457
12,40,1015,85,473
16,41,1008,77,463
15,45,1015,42,471
25,60,1010,85,441
12,44,1016,83,472
6,41,1021,97,480
13,41,1016,74,472
25,78,1009,83,433
15,71,1020,67,454
25,67,1014,51,439
13,39,1019,72,471
19,43,1012,73,451
15,43,1015,47,467
29,77,1003,65,438
13,40,1012,81,475
8,39,1016,69,486
23,46,1013,73,455
32,70,1013,56,431
16,41,1011,63,464
23,68,1005,75,445
17,51,1013,82,460
9,42,1033,77,480
27,61,1009,68,435
11,38,1011,96,474
24,66,1012,54,442
29,60,1010,60,438
30,69,1008,54,434
29,76,1006,60,436
11,53,1026,73,470
30,64,1013,60,440
8,36,1013,75,481
25,70,1015,82,438
26,61,1012,57,449
17,26,1009,65,461
12,41,1022,82,467
19,57,1020,76,456
9,41,1018,69,475
14,42,1018,84,467
15,43,1019,74,463
29,70,1011,73,437
15,39,1003,78,466
26,61,1015,50,444
16,40,1007,77,465
24,78,1009,90,440
12,41,1017,100,472
29,73,1007,68,432
14,45,1014,77,465
6,40,1020,67,494
13,41,1021,84,466
17,58,1019,77,459
25,69,1002,86,432
13,41,1025,85,462
21,52,1010,89,445
31,71,1007,52,437
12,44,1023,80,467
30,70,1010,43,439
